term,date,slot,room,teacher,subjectcode,sessionnumber,studentgroup,,,Note,SlotType,Type
SU22,2022-05-23,1,G401,vinhdk,570,1,GBC0904,,,,,0
SU22,2022-05-23,2,G401,vinhdk,570,2,GBC0904,,,,,0
SU22,2022-05-25,1,G401,vinhdk,570,3,GBC0904,,,,,0
SU22,2022-05-25,2,G401,vinhdk,570,4,GBC0904,,,,,0
SU22,2022-05-27,1,G401,vinhdk,570,5,GBC0904,,,,,0
SU22,2022-05-27,2,G401,vinhdk,570,6,GBC0904,,,,,0
SU22,2022-05-30,1,G401,vinhdk,570,7,GBC0904,,,,,0
SU22,2022-05-30,2,G401,vinhdk,570,8,GBC0904,,,,,0
SU22,2022-06-01,1,G401,vinhdk,570,9,GBC0904,,,,,0
SU22,2022-06-01,2,G401,vinhdk,570,10,GBC0904,,,,,0
SU22,2022-06-03,1,G401,vinhdk,570,11,GBC0904,,,,,0
SU22,2022-06-03,2,G401,vinhdk,570,12,GBC0904,,,,,0
SU22,2022-06-06,1,G401,vinhdk,570,13,GBC0904,,,,,0
SU22,2022-06-06,2,G401,vinhdk,570,14,GBC0904,,,,,0
SU22,2022-06-08,1,G401,vinhdk,570,15,GBC0904,,,,,0
SU22,2022-06-08,2,G401,vinhdk,570,16,GBC0904,,,,,0
SU22,2022-06-10,1,G401,vinhdk,570,17,GBC0904,,,,,0
SU22,2022-06-10,2,G401,vinhdk,570,18,GBC0904,,,,,0
SU22,2022-06-13,1,G401,vinhdk,570,19,GBC0904,,,,,0
SU22,2022-06-13,2,G401,vinhdk,570,20,GBC0904,,,,,0
SU22,2022-06-15,1,G401,vinhdk,570,21,GBC0904,,,,,0
SU22,2022-06-15,2,G401,vinhdk,570,22,GBC0904,,,,,0
SU22,2022-06-17,1,G401,vinhdk,570,23,GBC0904,,,,,0
SU22,2022-06-17,2,G401,vinhdk,570,24,GBC0904,,,,,0
SU22,2022-06-20,1,G401,vinhdk,570,25,GBC0904,,,,,0
SU22,2022-06-20,2,G401,vinhdk,570,26,GBC0904,,,,,0
SU22,2022-06-22,1,G401,vinhdk,570,27,GBC0904,,,,,0
